image_1,worker_id,part,category,time,folder,text_1,tokenized_1,lower_1,no_punc_1,no_punc_str_1,split,ID,part_name
722,AKQAI78JTXXC9,0,face,353.0,/raid/xiaoyuz1/amazon_turk/2022_03_21_release,linear,['linear'],['linear'],['linear'],linear,train,d862c2e3-6b0a-42f7-827c-67ebc8d44df7,eyes
260,AKQAI78JTXXC9,0,face,353.0,/raid/xiaoyuz1/amazon_turk/2022_03_21_release,open oval,"['open', 'oval']","['open', 'oval']","['open', 'oval']",open oval,train,2291d8cd-c310-411e-bec2-7378a661c935,eyes
556,AKQAI78JTXXC9,1,face,353.0,/raid/xiaoyuz1/amazon_turk/2022_03_21_release,small curved,"['small', 'curved']","['small', 'curved']","['small', 'curved']",small curved,test,f4dcf2d9-0e17-455c-952b-bccfabda4e40,nose
144,AKQAI78JTXXC9,1,face,353.0,/raid/xiaoyuz1/amazon_turk/2022_03_21_release,large curved,"['large', 'curved']","['large', 'curved']","['large', 'curved']",large curved,train,3c978b21-5eea-4a79-a094-109b03e8d678,nose
419,AKQAI78JTXXC9,2,face,353.0,/raid/xiaoyuz1/amazon_turk/2022_03_21_release,wide u-shaped,"['wide', 'u', '-']","['wide', 'u', '-']","['wide', 'u']",wide u,train,3c4d1ab8-657a-4717-9105-668cea4accfd,mouth
452,AKQAI78JTXXC9,2,face,353.0,/raid/xiaoyuz1/amazon_turk/2022_03_21_release,small u-shaped,"['small', 'u', '-']","['small', 'u', '-']","['small', 'u']",small u,train,9f41bd5b-cbb0-41d7-bda6-ec8707d777c6,mouth
11,AKQAI78JTXXC9,4,face,353.0,/raid/xiaoyuz1/amazon_turk/2022_03_21_release,long,['long'],['long'],['long'],long,dev,cb92d214-7cc3-4209-8025-a99678f7c2bc,hair
100,AKQAI78JTXXC9,4,face,353.0,/raid/xiaoyuz1/amazon_turk/2022_03_21_release,shorty spikey,"['shorty', 'spikey']","['shorty', 'spikey']","['shorty', 'spikey']",shorty spikey,train,52f22665-a60c-42d2-8918-5d950ee88136,hair
71,AKQAI78JTXXC9,6,face,353.0,/raid/xiaoyuz1/amazon_turk/2022_03_21_release,circular,['circular'],['circular'],['circular'],circular,train,3a5ef660-2031-440b-9523-3fcfff813566,face
416,AKQAI78JTXXC9,6,face,353.0,/raid/xiaoyuz1/amazon_turk/2022_03_21_release,wide oval,"['wide', 'oval']","['wide', 'oval']","['wide', 'oval']",wide oval,train,769c5f44-232f-4dad-8156-8076e59a1455,face
728,A14GKRTUEHBLBZ,0,face,133.4,/raid/xiaoyuz1/amazon_turk/2022_03_21_release,large horizontal oval,"['large', 'horizontal', 'oval']","['large', 'horizontal', 'oval']","['large', 'horizontal', 'oval']",large horizontal oval,train,92086d7b-9303-4476-907d-d247a7cf2908,eyes
89,A14GKRTUEHBLBZ,0,face,133.4,/raid/xiaoyuz1/amazon_turk/2022_03_21_release,asymmetrical surprised,"['asymmetrical', 'surprised']","['asymmetrical', 'surprised']","['asymmetrical', 'surprised']",asymmetrical surprised,dev,73dd8fdb-ecc7-4773-82da-96302fcd8379,eyes
284,A14GKRTUEHBLBZ,1,face,133.4,/raid/xiaoyuz1/amazon_turk/2022_03_21_release,wavy small,"['wavy', 'small']","['wavy', 'small']","['wavy', 'small']",wavy small,dev,7944a887-aa59-4461-82ff-5f7b46a4cf75,nose
